left_fsr_reading_mv,right_fsr_reading_mv,hip_distance,Activity,label
3613.0,1904.0,8.0,Standing,1
3602.0,3077.0,9.0,Standing,1
1.0,3215.0,13.0,Standing,1
2011.0,3135.0,10.0,Standing,1
114.0,2765.0,10.0,Standing,1
152.0,2526.0,11.0,Standing,1
2427.0,3240.0,12.0,Standing,1
2366.0,3472.0,11.0,Standing,1
2963.0,3588.0,13.0,Standing,1
2118.0,2196.0,12.0,Standing,1
2865.0,54.0,1.0,Standing,1
3510.0,1.0,3.0,Standing,1
948.0,592.0,1.0,Standing,1
891.0,781.0,3.0,Standing,1
1.0,3375.0,3.0,Standing,1
1.0,3229.0,2.0,Standing,1
1.0,1.0,5.0,Standing,1
3637.0,1.0,2.0,Standing,1
